0.3742,0.2024,0.8669,0.9542,0.8459,0.3863,0.7325,0.5372,0.0933,0.4162,
0.1942,0.5982,0.7777,0.7724,0.4326,0.9347,0.3854,0.5682,0.8419,0.1686,
0.4277,0.4844,0.6941,0.1688,0.8653,0.4883,0.0537,0.1728,0.6378,0.3315,
0.9363,0.8149,0.0792,0.0266,0.7386,0.4591,0.9714,0.4708,0.4301,0.4411,
0.1696,0.2504,0.2516,0.2761,0.4035,0.3884,0.7365,0.5393,0.6790,0.9996,
0.6119,0.3505,0.8821,0.3004,0.4526,0.2788,0.7153,0.5294,0.1175,0.0280,
0.6968,0.3873,0.0030,0.2797,0.5287,0.3299,0.5240,0.0977,0.7807,0.6380,
0.2759,0.9791,0.3925,0.7397,0.6843,0.9674,0.7072,0.7438,0.5053,0.3924,
0.3441,0.4617,0.0286,0.2223,0.0745,0.3832,0.7791,0.3095,0.9591,0.9168,
0.4578,0.5317,0.7288,0.0101,0.8590,0.5517,0.5625,0.2894,0.9977,0.0902,
